datetime,text,cleanTweet
2023-01-03 13:40:39,"b'@AimanAirin2 tulah.. banyak sangat kejutan awal tahun ni, memang lain macam.. isu jakel Shah Alam terbakar pun terjadi lagi..'",tulah banyak sangat kejut awal tahun ni memang macam isu jakel shah alam bakar jadi
2023-01-03 13:40:03,b'@Askrlfess Jujur daripada maij ke wisata alam mending lebih suka nonton konser musik...',jujur maij wisata alam mending lebih suka nonton konser musik
2023-01-03 13:39:33,"b'Dan jika rasa seseorang dari satu tempat\nAdalah apa yang diketahui dari alam semesta,\nKemudian pengetahuan adalah satu-satunya kehidupan,'",rasa orang satu apa tahu alam tahu hidup
2023-01-03 13:39:29,"b'@worwooo pacar kamu dong, pacar kamu yang paling ganteng se alam semesta.'",pacar kamu dong pacar kamu paling ganteng se alam semesta
2023-01-03 13:39:27,"b'@twtshah_alam Sebagai seorang student, saya perlu buat pengiraan sbb saya ni bukan berduit sgt\xf0\x9f\x98\x94'",orang student perlu buat ira ni bukan duit
2023-01-03 13:39:14,"b'Bumbu dan perpaduannya, warisan turun-temurun yang juga dipengaruhi oleh kekayaan alam &amp; budaya setempat.\nSeperti Base Genep, Bumbu dasar masakan khas Bali yang terdiri dari berbagai macam rempah yang banyak tumbuh di sana. Film Base Genep, segera tayang di YouTube @idbaruid. https://t.co/yB0uDENmRY'",bumbu padu waris pengaruh kaya alam budaya base genep bumbu dasar masakan khas bal diri bagai macam rempah banyak tumbuh sana film base genep segera tayang youtube
2023-01-03 13:38:50,"b'RT @jadhvan: \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\nkalian pasti udah tau ya aku darimana? benar! aku dari Bali, Indonesia. ngomongin kekayaan budaya dan alam di Bali itu pa\xe2\x80\xa6'",udah tau aku darimana aku bal indonesia ngomongin kaya budaya alam bal
2023-01-03 13:38:35,"b'\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\nkalian pasti udah tau ya aku darimana? benar! aku dari Bali, Indonesia. ngomongin kekayaan budaya dan alam di Bali itu pasti udah banyak yang familiar, dan aku bangga banget sama kebudayaan asalku! karena selain cantik, mengajarkan aku banyak hal soal hidup. \xf0\x9f\x98\xbc\n\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80'",udah tau aku darimana aku bal indonesia ngomongin kaya budaya alam bal udah banyak familiar aku bangga banget sama budaya cantik ajar aku banyak soal hidup
2023-01-03 13:38:11,b'what if mrkrn few tweets au \xf0\x9f\x98\x81 or mini au hindi k alam',what if mrkrn few tweets au or mini au hindi k alam
2023-01-03 13:38:06,b'@KHANZAADI__ @BushraHena @Bushra_Bano07 @Bawal_Zon @BanooAhamd @badre2_alam @ayshawahid_ @asiy__786 @AnjumAteeq22 @angel__8936 @AMR__Official07 Walaikumussalam',walaikumussalam
2023-01-03 13:38:04,b'@baharirwan2 Di alam ghoib nyungsep',alam ghoib nyungsep
2023-01-03 13:37:27,"b'Kapolres Batang di wakili Wakapolres Kompol GALI ATMAJAYA, S.Kom., S.I.K., M.M. bersama Dandim 0736 Batang LETKOL INF. AHMAD ALAM BUDIMAN, S.E., M.Han, M.Ipol. menghadiri undangan peringatan hari ulang tahun Ke 66 legiun veteran rebulik indonesia tahun 2023 https://t.co/itJlFvCdrr'",kapolres batang wakil wakapolres kompol gali atmajaya sama dandim batang letkol inf ahmad alam budiman hadir undang ingat hari ulang tahun legiun veteran rebulik indonesia tahun
2023-01-03 13:36:51,b'@twtshah_alam Btui',btui
2023-01-03 13:36:40,b'Batu alam\nhttps://t.co/retApWOZf1',batu
2023-01-03 13:36:32,b'\xe2\x80\x9cdan hanya kepada Tuhanmulah hendaknya kamu berharap.\xe2\x80\x9d (Q.S. Alam Nasyrah (94): 8)',tuhan hendak kamu alam nasyrah
2023-01-03 13:36:21,"b'@cahaya43263220 Nielh kehidupan alam fana,yg penting kesabaran serta kejujuran dlm menghdpi liku2 kehidupan di zaman skrg......,'",nielh hidup alam penting sabar jujur dlm menghdpi liku2 hidup zaman skrg
2023-01-03 13:36:13,b'Tak sekarang ni mana kunci aku dalam bilik pun boleh hilang macam masuk alam ghaib????',sekarang ni mana kunci aku bilik hilang macam masuk alam ghaib
2023-01-03 13:34:29,b'@GanjaranApp @ganjarpranowo @infoBMKG @bmkg_semarang Bencana banjir jelas gada hubungannya sama sekali dengan tendensi politik ini murni terjdinya karena faktor alam',bencana banjir jelas gada hubung sama sekali tendensi politik murni terjdinya faktor alam
2023-01-03 13:33:49,"b'@convomfs padahal kelamaan berak yg paling valid sih, krn itu panggilan alam www'",padahal lama berak paling valid sih panggil alam ww
2023-01-03 13:32:37,b'@moonareas @urqanus ilyyy satu alam semestaaa \xf0\x9f\x98\xa0',ilyy satu alam semestaa
2023-01-03 13:32:30,b'@sbyfess Kalo wisata alam gaada yg recommended. Yg lagi hype skrg kyknya alun2 sby sm jalan tunjungan. Kalo hotel cari di sekitaran situ banyak yg bagus tgl sesuaikan budget.',kalo wisata alam gaada recommended hype skrg kyknya alun2 sby sm jalan tunjung kalo hotel cari sekitar situ banyak bagus tgl sesuai budget
2023-01-03 13:32:00,b'bakal2 engineer dari uitm shah alam depan tu \ntolong pi check sat pasaipa \xf0\x9f\xa4\xa3\ndepan pagaq hgpa ja https://t.co/1qaJ6efore',bakal2 engineer uitm shah alam depan tu pi check sat pasaipa pagaq hgpa ja
2023-01-03 13:31:43,"b'jangan sedih kalau ibumu telah meninggalkan kalian terlebih dahulu, justru tersenyum dan doakan lah beliau agar beliau bangga dan tenang di alam sana.'",jangan sedih kalau ibu tinggal kalian lebih justru senyum doa lah beliau beliau bangga tenang alam sana
2023-01-03 13:31:37,b'@eversincemark kowii!!! di ko na alam sswerve na me\xf0\x9f\x98\xad',ko na alam sswerve na
2023-01-03 13:31:31,"b'RT @Migran_TV_7777: Indonesia Kaya Akan Budaya, Alam, Laut dan Memiliki Bonus Demografi Yang Tak TerNilai, Namun Semua Tiada Arti Karena di\xe2\x80\xa6'",indonesia kaya budaya alam laut milik bonus demografi nilai semua tiada arti
2023-01-03 13:31:11,"b'@sirAleepp_ @twtshah_alam Loh, budak2 muda lagi. Biasalah kalau x sedar berkumpul ramai2 kat kaunter. Itu pun jadi isu. Sensitif bebenor.'",loh budak2 muda biasa kalau x dar kumpul ramai2 kat kaunter jadi isu sensitif bebenor
2023-01-03 13:30:06,b'RT @akahitomaple: \xe2\x80\x94 Rotorua\n\n\xe2\x80\x9c Alam yang memanjakan netra bak daun maple yang gugur di kampung halaman... mungkin ini juga bisa dikatakan s\xe2\x80\xa6',alam manja netra bak daun maple gugur kampung halaman mungkin kata
2023-01-03 13:29:30,b'Alhamdullilah... Semoga Allah siapkan hukuman di alam kubur yg berat jg... https://t.co/KstmMVUUVK',alhamdullilah moga allah siap hukum alam kubur berat jg
2023-01-03 13:29:13,b'melintasi alam liar ; day 1 clear [03/01/23] https://t.co/cE14PXvk4e',lintas alam liar day clear
