datetime,text,cleanTweet
2023-02-27 08:59:46,"b'@radixwp @aesculapiusw @3atam8 @RMMangkuboto kebalik, negara tidak menganut hukum sekuler, ini negara pancasila yang berketuhanan yang mengakui agama bukan tak beragama, paham? ini hal wajar krn yang membangun negara ini kaum beragama, bukan kaum tak beragama'",balik negara anut hukum sekuler negara pancasila tuhan aku agama bukan agama paham wajar bangun negara kaum agama bukan kaum agama
2023-02-27 08:57:45,b'BPIP menyayangkan mata ajar Pancasila sempat dihilangkan....\n#BPIP #Pancasila #MataPelajaran #Jokowi \nhttps://t.co/w70LrrL2T6',bpip sayang mata ajar pancasila sempat
2023-02-27 08:56:08,"b'@AyaniMel lhaa.. bangsat ni manusia, plintir terus makna dari Pancasila..'",lhaa bangsat ni manusia plintir terus makna pancasila
2023-02-27 08:53:52,"b'@mohmahfudmd Pancasila telah Hancur di NKRI, Gaji seorang pejabat pajak diberitakan Rp.80 juta/Bulan, bagaimana dengan gaji para Menteri seperti Sri Mulyani dll? Lebih baik mereka kerja diluar negeri daripada pulang ketanah air bukan untuk mengabdi tapi untuk makan uang Rakyat #SriMulyaniOMDO https://t.co/GECIFWddDx'",pancasila hancur nkri gaji orang jabat pajak berita bagaimana gaji menteri sri mulyani lebih baik kerja luar negeri pulang tanah air bukan abdi makan uang rakyat
2023-02-27 08:48:56,"b'\xe2\x80\x9cPancasila kita yakini pemersatu bangsa, ideologi dan falsafah bangsa yang harus kita jaga ke depan,"" lanjutnya.\n#PrabowoPemersatu #IkutPakde Prabowo Subianto'",yakin satu bangsa ideologi falsafah bangsa jaga depan prabowo subianto
2023-02-27 08:48:56,"b'Adapun, selepas acara, Prabowo sempat berbicara bahwa Pancasila adalah yang dapat mempersatukan dan menyelamatkan bangsa Indonesia.\n#PrabowoPemersatu #IkutPakde Prabowo Subianto'",adapun lepas acara prabowo sempat bicara pancasila satu selamat bangsa prabowo subianto
2023-02-27 08:48:52,"b'JAKARTA - Menteri Pertahanan RI Prabowo Subianto menghadiri upacara peringatan Hari Kesaktian Pancasila yang dipimpin oleh Presiden RI Joko Widodo di Monumen Pancasila Sakti, Lubang Buaya, Jakarta Timur, Sabtu (1/10/2022).\n#PrabowoPemersatu #IkutPakde'",jakarta menteri tahan ri prabowo subianto hadir upacara ingat hari sakti pancasila pimpin presiden ri joko widodo monumen pancasila sakti lubang buaya jakarta timur sabtu
2023-02-27 08:47:33,"b'Pancasila telah Hancur di NKRI, Gaji seorang pejabat pajak diberitakan Rp.80 juta/Bulan, bagaimana dengan gaji para Menteri seperti Sri Mulyani dll? Lebih baik mereka kerja diluar negeri daripada pulang ketanah air bukan untuk mengabdi tapi untuk makan uang Rakyat #SriMulyaniOMDO https://t.co/1CXpQckr43'",pancasila hancur nkri gaji orang jabat pajak berita bagaimana gaji menteri sri mulyani lebih baik kerja luar negeri pulang tanah air bukan abdi makan uang rakyat
2023-02-27 08:40:58,b'@selaIurebahan @rizkahasanah Semakin yakin dan inilah dampak buruk dihapuskannya mapel Pendidikan Moral Pancasila (PMP) dari bangku sekolah',makin yakin ini dampak buruk hapus mapel didik moral pancasila bangku sekolah
2023-02-27 08:40:13,b'\xe2\x9c\x85Aktualisasi Projek Penguatan Profil Pelajar Pancasila Dalam Rangka Memperingati Hari Peduli Sampah Nasional SMK Negeri 1 Banyuwangi https://t.co/YEsUkw2EgT',projek kuat profil ajar pancasila rangka ingat hari peduli sampah nasional smk negeri banyuwangi
